cluster_name,DC Name,Cluster Region (Prod/Non Prod),Cluster Type,Active,reporting_date,no_of_hosts,core_per_host,ram_per_host, vcpu_allocated,vram_allocated
STR DB2 CLUSTER,STR,Prod,Vmware,TRUE,9/28/2020,15,36,768,284,3005
STR DENSE WINDOWS  CLUSTER,STR,Prod,Vmware,TRUE,9/28/2020,3,72,3072,908,3088
STR Database Cluster,STR,Prod,Vmware,TRUE,9/28/2020,6,32,3072,828,3513
STR GEMFIRE CLUSTER,STR,Prod,Vmware,TRUE,9/28/2020,3,36,768,108,440
STR GENESYS CLUSTER,STR,Prod,Vmware,TRUE,9/28/2020,7,36,768,1312,3894
STR JBOSS CLUSTER2,STR,Prod,Vmware,TRUE,9/28/2020,7,36,768,1287,2696
STR JBOSS Cluster1,STR,Prod,Vmware,TRUE,9/28/2020,11,36,768,2321,4194
STR Large Windows,STR,Prod,Vmware,FALSE,9/28/2020,3,32,3072,0,0
STR Management,STR,Prod,Vmware,TRUE,9/28/2020,4,36,768,210,648
STR NON-SENSITIVE LINUX2,STR,Prod,Vmware,TRUE,9/28/2020,14,36,1535,4003,12377
STR NON-SENSITIVE WINDOWS2,STR,Prod,Vmware,TRUE,9/28/2020,12,36,1535,2610,7343
STR Non-Sensitive Linux,STR,Prod,Vmware,TRUE,9/28/2020,14,36,1535,4504,15236
STR Non-Sensitive Windows,STR,Prod,Vmware,TRUE,9/28/2020,10,36,1535,1900,5903
STR Platinum Linux Prod1,STR,Prod,Vmware,TRUE,9/28/2020,6,36,768,971,2383
STR Platinum Windows Prod1,STR,Prod,Vmware,TRUE,9/28/2020,3,36,768,216,604
Windsor UCS Cluster 1,Windsor,NonProd,Vmware,TRUE,9/28/2020,3,24,384,194,479
Des Moines UCS Cluster 1,Des Moines,NonProd,Vmware,TRUE,9/28/2020,3,24,384,77,200
West Chester UCS Cluster 1,West Chester,NonProd,Vmware,TRUE,9/28/2020,3,24,384,178,419
Braintree UCS Cluster 1,BrainTree,NonProd,Vmware,TRUE,9/28/2020,3,24,384,90,264
STR NonBillable Cluster,STR,Prod,Vmware,TRUE,9/28/2020,4,36,1535,413,1124
STR NON-PROD LINUX,STR,NonProd,Vmware,TRUE,9/28/2020,3,36,1535,642,2272
Chandler UCS Cluster 1,MPL,NonProd,Vmware,TRUE,9/28/2020,3,24,384,44,120
SHK DENSE LINUX CLUSTER,SHK,Prod,Vmware,TRUE,9/28/2020,5,72,3071,986,4119
STR NON-PROD WINDOWS,STR,NonProd,Vmware,TRUE,9/28/2020,3,36,1535,426,1256
STR NON-PROD JBOSS,STR,NonProd,Vmware,TRUE,9/28/2020,3,36,1535,346,532
STR DENSE LINUX CLUSTER,STR,Prod,Vmware,TRUE,9/28/2020,5,72,3071,232,744
SHK pcf AZ1,SHK,Prod,Vmware,TRUE,9/28/2020,3,36,1535,0,0
SHK pcf2 AZ2,SHK,Prod,Vmware,TRUE,9/28/2020,2,36,1535,0,0
cluster_name,DC Name,Cluster Region (Prod/Non Prod),Cluster Type,Active,reporting_date,no_of_hosts,core_per_host,ram_per_host, vcpu_allocated,vram_allocated
Atlanta UCS Cluster 1,Atlanta,NonProd,Vmware,TRUE,8/24/2020,3,24,384,102,279
MPL Prod Silver Cluster 1,Mpl,NonProd,Vmware,TRUE,8/24/2020,0,48,512,0,0
SHK DATABASE CLUSTER,SHK,Prod,Vmware,TRUE,8/24/2020,4,32,3072,524,2134
SHK DATABASE CLUSTER2,SHK,Prod,Vmware,TRUE,8/24/2020,4,32,3072,330,1572
SHK DB2 Cluster,SHK,Prod,Vmware,TRUE,8/24/2020,7,36,768,52,406
SHK NONBILLABLE CLUSTER,SHK,Prod,Vmware,TRUE,8/24/2020,3,36,768,437,1413
SHK GENESYS CLUSTER,SHK,Prod,Vmware,TRUE,8/24/2020,7,36,768,1204,3414
SHK GemFire Cluster,SHK,Prod,Vmware,TRUE,8/24/2020,4,36,768,72,280
SHK Jboss Cluster,SHK,Prod,Vmware,TRUE,8/24/2020,10,36,768,1451,3130
SHK DENSE WINDOWS CLUSTER,SHK,prod,Vmware,TRUE,8/24/2020,3,72,3072,308,1152
SHK LARGE WINDOWS,SHK,Prod,Vmware,TRUE,8/24/2020,4,32,3072,534,2283
SHK Management,SHK,Prod,Vmware,TRUE,8/24/2020,4,36,768,243,718
SHK Platinum Linux Prod1,SHK,Prod,Vmware,TRUE,8/24/2020,4,36,768,326,686
SHK Platinum Windows Prod1,SHK,Prod,Vmware,TRUE,8/24/2020,3,36,768,76,220
SHK TENANT LINUX PROD2,SHK,Prod,Vmware,TRUE,8/24/2020,12,36,768,2158,7561
SHK TENANT WINDOWS PROD2,SHK,Prod,Vmware,TRUE,8/24/2020,9,36,768,1471,4352
SHK Tenant Linux Prod1,SHK,Prod,Vmware,TRUE,8/24/2020,12,36,768,2310,8005
SHK Tenant Windows Prod1,SHK,Prod,Vmware,TRUE,8/24/2020,12,36,768,1818,6301
STR DATABASE CLUSTER2,STR,Prod,Vmware,TRUE,8/24/2020,6,32,3072,646,2532
STR DB2 CLUSTER,STR,Prod,Vmware,TRUE,8/24/2020,15,36,768,192,2448
STR DENSE WINDOWS  CLUSTER,STR,Prod,Vmware,TRUE,8/24/2020,3,72,3072,908,3088
STR Database Cluster,STR,Prod,Vmware,TRUE,8/24/2020,6,32,3072,840,3643
STR GEMFIRE CLUSTER,STR,Prod,Vmware,TRUE,8/24/2020,3,36,768,108,440
STR GENESYS CLUSTER,STR,Prod,Vmware,TRUE,8/24/2020,7,36,768,1312,3894
STR JBOSS CLUSTER2,STR,Prod,Vmware,TRUE,8/24/2020,7,36,768,1319,2752
STR JBOSS Cluster1,STR,Prod,Vmware,TRUE,8/24/2020,11,36,768,2725,4666
STR Large Windows,STR,Prod,Vmware,FALSE,8/24/2020,0,32,3072,0,0
STR Management,STR,Prod,Vmware,TRUE,8/24/2020,4,36,768,210,648
STR NON-SENSITIVE LINUX2,STR,Prod,Vmware,TRUE,8/24/2020,14,36,1535,4000,12717
STR NON-SENSITIVE WINDOWS2,STR,Prod,Vmware,TRUE,8/24/2020,12,36,1535,2918,8173
STR Non-Sensitive Linux,STR,Prod,Vmware,TRUE,8/24/2020,14,36,1535,4367,14774
STR Non-Sensitive Windows,STR,Prod,Vmware,TRUE,8/24/2020,10,36,1535,1976,6099
STR Platinum Linux Prod1,STR,Prod,Vmware,TRUE,8/24/2020,6,36,768,1024,2476
STR Platinum Windows Prod1,STR,Prod,Vmware,TRUE,8/24/2020,3,36,768,216,604
Windsor UCS Cluster 1,Windsor,NonProd,Vmware,TRUE,8/24/2020,3,24,384,198,475
Des Moines UCS Cluster 1,Des Moines,NonProd,Vmware,TRUE,8/24/2020,3,24,384,77,200
West Chester UCS Cluster 1,West Chester,NonProd,Vmware,TRUE,8/24/2020,3,24,384,182,427
Braintree UCS Cluster 1,BrainTree,NonProd,Vmware,TRUE,8/24/2020,3,24,384,90,264
STR NonBillable Cluster,STR,Prod,Vmware,TRUE,8/24/2020,4,36,1535,445,1228
STR NON-PROD LINUX,STR,NonProd,Vmware,TRUE,8/24/2020,3,36,1535,680,2376
Chandler UCS Cluster 1,MPL,NonProd,Vmware,TRUE,8/24/2020,3,24,384,44,120
